timestamp,index,temperature_gpu,utilization_gpu,utilization_memory,memory_used,power_draw,clocks_sm
2026/09/14 16:00:42.170, 1, 17, 0, 0, 5, 8.55, 139
2026/09/14 16:00:43.202, 0, 48, 100, 5, 427, 104.48, 1898
2026/09/14 16:00:43.206, 1, 17, 0, 0, 5, 8.79, 139
2026/09/14 16:00:44.242, 0, 48, 100, 5, 427, 127.15, 1898
2026/09/14 16:00:44.248, 1, 17, 0, 0, 5, 8.79, 139
2026/09/14 16:00:45.284, 0, 48, 100, 4, 427, 101.96, 1898
2026/09/14 16:00:45.290, 1, 17, 0, 0, 5, 9.03, 139
2026/09/14 16:00:46.323, 0, 48, 100, 4, 427, 125.89, 1898
2026/09/14 16:00:46.326, 1, 17, 0, 0, 5, 8.88, 139
2026/09/14 16:00:47.371, 0, 48, 100, 5, 427, 98.14, 1898
2026/09/14 16:00:47.374, 1, 18, 0, 0, 5, 8.69, 139
2026/09/14 16:00:48.405, 0, 48, 100, 4, 427, 109.11, 1898
2026/09/14 16:00:48.408, 1, 17, 0, 0, 5, 8.55, 139
2026/09/14 16:00:49.440, 0, 48, 100, 4, 427, 96.26, 1898
2026/09/14 16:00:49.444, 1, 17, 0, 0, 5, 8.55, 139
2026/09/14 16:00:50.477, 0, 48, 100, 4, 427, 83.03, 1898
2026/09/14 16:00:50.482, 1, 18, 0, 0, 5, 8.89, 139
2026/09/14 16:00:51.516, 0, 48, 100, 4, 427, 107.81, 1898
2026/09/14 16:00:51.519, 1, 17, 0, 0, 5, 8.79, 139
2026/09/14 16:00:52.554, 0, 48, 100, 5, 427, 142.54, 1898
2026/09/14 16:00:52.557, 1, 17, 0, 0, 5, 8.98, 139
2026/09/14 16:00:53.591, 0, 48, 100, 5, 427, 100.61, 1898
2026/09/14 16:00:53.594, 1, 17, 0, 0, 5, 8.79, 139
2026/09/14 16:00:54.627, 0, 48, 100, 5, 427, 124.36, 1898
2026/09/14 16:00:54.630, 1, 17, 0, 0, 5, 8.79, 139
2026/09/14 16:00:55.663, 0, 48, 100, 4, 427, 102.06, 1898
2026/09/14 16:00:55.666, 1, 18, 0, 0, 5, 9.13, 139
2026/09/14 16:00:56.702, 0, 48, 100, 5, 427, 117.90, 1898
2026/09/14 16:00:56.705, 1, 17, 0, 0, 5, 8.79, 139
2026/09/14 16:00:57.737, 0, 48, 100, 4, 427, 107.17, 1898
2026/09/14 16:00:57.739, 1, 17, 0, 0, 5, 8.93, 139
2026/09/14 16:00:58.777, 0, 48, 100, 4, 427, 84.82, 1898
