config,n_robots,n_platters,write_Mbit_s,mount_s,n_trials,mean_completion_s,p50_completion_s,p99_completion_s,robot_utilization,net_read_s_per_job,write_s_per_job,mount_frac_of_service,n_sets,pooled_set_loss_events,pooled_set_trials,set_loss_prob_estimate,horizon_yr
silica_4beam_65.9Mbit,2,16000,65.9,1.0,100,60.425,59.711,100.912,0.0003,5.6,53.1108,0.0167,842,0,84200,0.0,5.0
silica_4beam_65.9Mbit,4,1000,65.9,1.0,100,59.713,59.711,59.711,0.0,5.6,53.1108,0.0167,52,0,5200,0.0,5.0
silica_4beam_65.9Mbit,4,4000,65.9,1.0,100,59.711,59.711,59.711,0.0,5.6,53.1108,0.0167,210,0,21000,0.0,5.0
silica_4beam_65.9Mbit,4,16000,65.9,1.0,100,59.712,59.711,59.711,0.0002,5.6,53.1108,0.0167,842,0,84200,0.0,5.0
silica_4beam_65.9Mbit,8,1000,65.9,1.0,100,59.711,59.711,59.711,0.0,5.6,53.1108,0.0167,52,0,5200,0.0,5.0
silica_4beam_65.9Mbit,8,4000,65.9,1.0,100,59.711,59.711,59.711,0.0,5.6,53.1108,0.0167,210,0,21000,0.0,5.0
silica_4beam_65.9Mbit,8,16000,65.9,1.0,100,59.711,59.711,59.711,0.0001,5.6,53.1108,0.0167,842,0,84200,0.0,5.0
silica_4beam_65.9Mbit,20,1000,65.9,1.0,100,59.711,59.711,59.711,0.0,5.6,53.1108,0.0167,52,0,5200,0.0,5.0
silica_4beam_65.9Mbit,20,4000,65.9,1.0,100,59.711,59.711,59.711,0.0,5.6,53.1108,0.0167,210,0,21000,0.0,5.0
silica_4beam_65.9Mbit,20,16000,65.9,1.0,100,59.711,59.711,59.711,0.0,5.6,53.1108,0.0167,842,0,84200,0.0,5.0
tape_LTO9_3200Mbit,1,1000,3200.0,1.0,100,10.883,7.694,30.775,0.0,5.6,1.0938,0.13,52,0,5200,0.0,5.0
tape_LTO9_3200Mbit,1,4000,3200.0,1.0,100,8.754,7.694,30.313,0.0,5.6,1.0938,0.13,210,0,21000,0.0,5.0
tape_LTO9_3200Mbit,1,16000,3200.0,1.0,100,7.969,7.694,20.234,0.0001,5.6,1.0938,0.13,842,0,84200,0.0,5.0
tape_LTO9_3200Mbit,2,1000,3200.0,1.0,100,8.757,7.694,15.388,0.0,5.6,1.0938,0.13,52,0,5200,0.0,5.0
tape_LTO9_3200Mbit,2,4000,3200.0,1.0,100,8.047,7.694,15.388,0.0,5.6,1.0938,0.13,210,0,21000,0.0,5.0
